iter	Logloss
0	0.6746780738
1	0.6573488538
2	0.639461465
3	0.6218800234
4	0.6072198597
5	0.590549029
6	0.576690219
7	0.5614758664
8	0.5472392107
9	0.5358965637
10	0.5237927336
11	0.511837222
12	0.5005135204
13	0.4887012131
14	0.4814896985
15	0.4719823536
16	0.4622628681
17	0.4559915678
18	0.4478471809
19	0.4398500697
20	0.4323627374
21	0.4254079757
22	0.4173548298
23	0.4112834
24	0.4048488306
25	0.4018515998
26	0.397368495
27	0.3916077532
28	0.3858822079
29	0.3806274755
30	0.3777362176
31	0.3739925243
32	0.3700547372
33	0.3660343814
34	0.3613370039
35	0.3574166095
36	0.3541267404
37	0.3515386624
38	0.3493790733
39	0.3451241487
40	0.3430217837
41	0.3406249095
42	0.3382486102
43	0.3352910037
44	0.331864796
45	0.3276050932
46	0.3241869431
47	0.3218076346
48	0.320095633
49	0.317122146
50	0.3145861197
51	0.3127872097
52	0.3111979001
53	0.3088567773
54	0.3054630233
55	0.3028905383
56	0.3000520307
57	0.2981088006
58	0.2950161352
59	0.2934499425
60	0.2921797868
61	0.2905666944
62	0.2884416721
63	0.2869534499
64	0.284669896
65	0.2826459449
66	0.2807833022
67	0.2794183941
68	0.2777827051
69	0.2758127895
70	0.2734704432
71	0.271855153
72	0.270360398
73	0.2674459059
74	0.2661881755
75	0.2636861299
76	0.2614196511
77	0.2603624633
78	0.2584796476
79	0.2565052573
80	0.2555179378
81	0.2537629164
82	0.2520963928
83	0.2500824358
84	0.2491412123
85	0.2476966148
86	0.2465966763
87	0.2451306546
88	0.2443546833
89	0.2435646798
90	0.241648158
91	0.2399252451
92	0.2387703671
93	0.23781813
94	0.2359269602
95	0.2349075096
96	0.233102667
97	0.2322644208
98	0.2315230312
99	0.2302584082
100	0.2293641075
101	0.2281258155
102	0.2273137473
103	0.226215047
104	0.2251100388
105	0.2241247853
106	0.2234223541
107	0.2223287437
108	0.2214435611
109	0.2201973874
110	0.2194141407
111	0.2184148126
112	0.2177510942
113	0.2162744758
114	0.2154262739
115	0.2147025719
116	0.213224446
117	0.2125710728
118	0.2114590139
119	0.2103424709
120	0.2095032061
121	0.20866582
122	0.2075832815
123	0.2068445024
124	0.2063264543
125	0.2051675766
126	0.2042887511
127	0.2034961339
