iter	Passed	Remaining
272	33042	87992
273	33157	87855
274	33281	87741
275	33390	87590
276	33504	87449
277	33609	87288
278	33719	87138
279	33831	86996
280	33945	86857
281	34054	86706
282	34167	86566
283	34283	86433
284	34392	86281
285	34506	86145
286	34621	86011
287	34746	85900
288	34876	85803
289	34988	85662
290	35105	85531
291	35236	85435
292	35346	85290
293	35471	85179
294	35593	85062
295	35714	84943
296	35827	84803
297	35947	84680
298	36063	84549
299	36173	84404
300	36283	84260
301	36394	84118
302	36500	83962
303	36622	83846
304	36746	83733
305	36858	83593
306	36976	83468
307	37090	83332
308	37201	83191
309	37317	83060
310	37429	82923
311	37548	82798
312	37700	82747
313	37811	82607
314	37922	82467
315	38026	82310
316	38139	82173
317	38260	82055
318	38396	81968
319	38519	81853
320	38631	81715
321	38757	81608
322	38886	81505
323	38999	81369
324	39120	81250
325	39229	81107
326	39340	80966
327	39459	80843
328	39578	80720
329	39692	80588
330	39824	80491
331	39952	80386
332	40068	80257
333	40184	80129
334	40293	79985
335	40422	79882
336	40562	79801
337	40698	79710
338	40825	79604
339	40969	79529
340	41079	79388
341	41186	79242
342	41286	79082
343	41404	78957
344	41540	78866
345	41670	78764
346	41785	78633
347	41898	78500
348	42047	78431
349	42170	78316
350	42286	78187
351	42398	78051
352	42563	78012
353	42677	77879
354	42782	77731
355	42904	77613
356	43065	77565
357	43166	77409
358	43284	77285
359	43412	77177
360	43526	77044
361	43634	76903
362	43748	76770
363	43925	76749
364	44061	76655
365	44183	76536
366	44300	76409
367	44413	76275
368	44537	76161
369	44658	76039
370	44773	75910
371	44891	75784
372	45003	75649
373	45118	75519
374	45222	75371
375	45325	75220
376	45446	75100
377	45563	74975
378	45678	74845
379	45797	74723
380	45911	74590
381	46030	74467
382	46146	74340
383	46269	74223
384	46378	74084
385	46489	73950
386	46607	73825
387	46722	73696
388	46835	73564
389	46942	73423
390	47057	73294
391	47178	73174
392	47298	73054
393	47417	72931
394	47537	72810
395	47647	72674
396	47765	72550
397	47871	72409
398	47992	72289
399	48123	72185
400	48235	72052
401	48364	71945
402	48496	71842
403	48612	71715
404	48736	71601
405	48864	71490
406	49002	71396
407	49124	71278
408	49259	71179
409	49385	71066
410	49520	70967
411	49651	70861
412	49803	70785
413	49953	70706
414	50081	70597
415	50237	70526
416	50368	70419
417	50496	70308
418	50639	70218
419	50758	70094
420	50879	69974
421	50999	69852
422	51120	69732
423	51245	69616
424	51361	69488
425	51476	69360
426	51593	69233
427	51699	69093
428	51809	68958
429	51939	68850
430	52064	68734
431	52187	68616
432	52311	68500
433	52429	68375
434	52543	68246
435	52658	68117
436	52770	67985
437	52886	67858
438	52998	67726
439	53118	67605
440	53242	67488
441	53354	67357
442	53488	67253
443	53605	67127
444	53728	67009
445	53844	66883
446	53961	66757
447	54087	66644
448	54219	66536
449	54344	66421
450	54472	66308
451	54595	66190
452	54714	66068
453	54838	65950
454	54962	65834
455	55077	65707
456	55206	65595
457	55313	65458
458	55420	65321
459	55551	65213
460	55671	65091
461	55794	64972
462	55909	64845
463	56014	64706
464	56131	64580
465	56256	64465
466	56369	64336
467	56488	64213
468	56614	64099
469	56727	63969
470	56850	63850
471	56978	63738
472	57097	63616
473	57214	63491
474	57334	63369
475	57457	63251
476	57579	63132
477	57699	63010
478	57814	62884
479	57918	62744
480	58048	62634
481	58162	62506
482	58279	62381
483	58393	62254
484	58506	62125
485	58610	61986
486	58726	61862
487	58842	61736
488	58963	61616
489	59071	61482
490	59195	61365
491	59309	61238
492	59415	61102
493	59528	60974
494	59652	60857
495	59765	60729
496	59881	60604
497	60010	60492
498	60136	60377
499	60250	60250
500	60352	60111
501	60495	60013
502	60599	59876
503	60723	59759
504	60826	59622
505	60941	59496
506	61055	59369
507	61170	59244
508	61303	59135
509	61423	59014
510	61539	58890
511	61660	58769
512	61772	58642
513	61894	58523
514	62008	58396
515	62107	58255
516	62219	58127
517	62348	58015
518	62451	57879
519	62567	57754
520	62677	57624
521	62796	57503
522	62912	57378
523	63033	57259
524	63148	57134
525	63261	57007
526	63368	56874
527	63489	56756
528	63601	56627
529	63719	56505
530	63834	56381
531	63950	56257
532	64063	56130
533	64183	56010
534	64296	55883
535	64413	55760
536	64528	55636
537	64637	55506
538	64756	55385
539	64859	55250
540	64978	55129
541	65096	55007
542	65218	54889
543	65340	54770
544	65456	54647
545	65567	54519
546	65679	54392
547	65788	54263
548	65897	54134
549	66002	54002
550	66109	53871
551	66228	53750
552	66339	53623
553	66439	53487
554	66545	53355
555	66658	53231
556	66769	53104
557	66880	52976
558	66981	52842
559	67093	52716
560	67195	52582
561	67306	52456
562	67420	52331
563	67538	52210
564	67652	52086
565	67767	51963
566	67875	51834
567	68194	51866
568	68351	51774
569	68467	51651
570	68575	51521
571	68681	51391
572	68800	51270
573	68917	51147
574	69025	51018
575	69144	50898
576	69258	50773
577	69372	50648
578	69486	50524
579	69598	50398
580	69714	50276
581	69835	50156
582	69956	50037
583	70079	49919
584	70189	49792
585	70300	49666
586	70422	49547
587	70545	49429
588	70648	49297
589	70769	49179
590	70887	49057
591	71001	48933
592	71115	48809
593	71233	48688
594	71346	48563
595	71461	48440
596	71562	48307
597	71671	48180
598	71781	48053
599	71891	47927
600	72001	47801
601	72110	47674
602	72224	47550
603	72339	47427
604	72455	47305
605	72565	47179
606	72672	47051
607	72776	46921
608	72884	46794
609	72996	46669
610	73108	46545
611	73221	46421
612	73338	46300
613	73474	46190
614	73591	46069
615	73720	45955
616	73834	45832
617	73966	45720
618	74068	45589
619	74186	45469
620	74306	45349
621	74434	45234
622	74551	45114
623	74672	44994
624	74806	44883
625	74922	44762
626	75040	44641
627	75155	44518
628	75269	44395
629	75379	44270
630	75500	44151
631	75616	44029
632	75737	43911
633	75867	43797
634	75982	43674
635	76110	43559
636	76231	43440
637	76349	43320
638	76447	43188
639	76567	43069
640	76689	42951
641	76829	42842
642	76950	42723
643	77066	42601
644	77190	42484
645	77301	42360
646	77431	42246
647	77546	42124
648	77668	42005
649	77788	41886
650	77895	41759
651	78038	41652
652	78161	41534
653	78292	41420
654	78418	41304
655	78540	41185
656	78655	41063
657	78774	40943
658	78892	40823
659	79009	40701
660	79119	40577
661	79235	40455
662	79351	40334
663	79463	40210
664	79582	40090
665	79695	39967
666	79810	39845
667	79933	39727
668	80049	39606
669	80177	39490
670	80298	39371
671	80419	39252
672	80533	39129
673	80644	39006
674	80752	38880
675	80854	38752
676	80961	38627
677	81077	38505
678	81194	38384
679	81306	38261
680	81415	38137
681	81523	38012
682	81631	37887
683	81734	37760
684	81842	37635
685	81950	37510
686	82055	37384
687	82167	37262
688	82278	37138
689	82391	37016
690	82507	36895
691	82621	36773
692	82736	36652
693	82849	36530
694	83001	36424
695	83103	36298
696	83222	36178
697	83336	36056
698	83445	35932
699	83553	35808
700	83668	35687
701	83778	35563
702	83897	35444
703	84012	35323
704	84133	35204
705	84249	35084
706	84372	34966
707	84479	34842
708	84596	34721
709	84712	34600
710	84843	34486
711	84967	34368
712	85074	34244
713	85194	34125
714	85303	34001
715	85423	33883
716	85528	33758
717	85651	33640
718	85771	33521
719	85881	33398
720	85992	33276
721	86092	33149
722	86212	33030
723	86317	32905
724	86427	32782
725	86637	32698
726	86944	32648
727	87054	32525
728	87166	32403
729	87272	32278
730	87367	32150
731	87462	32021
732	87568	31897
733	87671	31771
734	87778	31647
735	87887	31524
736	87997	31402
737	88112	31281
738	88224	31159
739	88322	31032
740	88433	30909
741	88540	30786
742	88636	30658
743	88733	30532
744	88851	30412
745	88956	30288
746	89067	30166
747	89177	30043
748	89285	29920
749	89391	29797
750	89490	29671
751	89603	29550
752	89717	29429
753	89834	29309
754	89950	29189
755	90056	29065
756	90174	28946
757	90292	28826
758	90404	28705
759	90515	28583
760	90630	28463
761	90745	28343
762	90842	28217
763	90956	28096
764	91060	27972
765	91174	27852
766	91279	27728
767	91399	27610
768	91501	27486
769	91611	27364
770	91727	27244
771	91846	27125
772	91949	27002
773	92067	26882
774	92174	26760
775	92290	26640
776	92389	26515
777	92490	26391
778	92605	26271
779	92716	26150
780	92827	26029
781	92937	25908
782	93041	25785
783	93154	25664
784	93266	25544
785	93384	25425
786	93492	25303
787	93612	25185
788	93715	25062
789	93825	24941
790	93943	24821
791	94056	24701
792	94174	24582
793	94289	24462
794	94393	24340
795	94512	24221
796	94622	24100
797	94738	23981
798	94857	23862
799	94974	23743
800	95085	23622
801	95207	23505
802	95312	23383
803	95428	23263
804	95536	23142
805	95657	23024
806	95773	22905
807	95897	22787
808	96009	22667
809	96120	22546
810	96219	22423
811	96333	22303
812	96449	22184
813	96573	22067
814	96676	21944
815	96779	21822
816	96888	21702
817	96998	21581
818	97104	21460
819	97233	21343
820	97352	21225
821	97454	21103
822	97565	20983
823	97673	20862
824	97785	20742
825	97898	20622
826	98005	20501
827	98116	20381
828	98230	20262
829	98334	20140
830	98448	20021
831	98565	19902
832	98684	19784
833	98795	19664
834	98909	19545
835	99029	19426
836	99146	19308
837	99253	19187
838	99363	19067
839	99478	18948
840	99589	18828
841	99693	18707
842	99801	18586
843	99914	18467
844	100031	18348
845	100137	18228
846	100237	18106
847	100357	17988
848	100479	17870
849	100593	17751
850	100707	17632
851	100822	17513
852	100933	17394
853	101041	17274
854	101156	17155
855	101276	17037
856	101385	16917
857	101489	16796
858	101602	16677
859	101719	16558
860	101833	16440
861	101946	16320
862	102059	16201
863	102173	16082
864	102288	15964
865	102398	15844
866	102512	15725
867	102619	15605
868	102730	15486
869	102844	15367
870	102962	15249
871	103068	15129
872	103192	15011
873	103307	14893
874	103431	14775
875	103545	14657
876	103652	14537
877	103771	14419
878	103893	14301
879	104004	14182
880	104130	14065
881	104250	13947
882	104369	13829
883	104477	13709
884	104589	13590
885	104703	13472
886	104821	13353
887	104937	13235
888	105051	13116
889	105173	12998
890	105283	12879
891	105391	12760
892	105503	12641
893	105623	12523
894	105729	12404
895	105847	12285
896	105951	12166
897	106194	12062
898	106551	11970
899	106694	11854
900	106806	11735
901	106923	11616
902	107036	11497
903	107146	11378
904	107245	11257
905	107357	11138
906	107472	11019
907	107586	10900
908	107698	10781
909	107802	10661
910	107905	10541
911	108022	10423
912	108137	10304
913	108252	10185
914	108363	10066
915	108471	9947
916	108569	9826
917	108681	9707
918	108778	9587
919	108881	9467
920	108986	9348
921	109091	9228
922	109194	9109
923	109303	8990
924	109426	8872
925	109544	8754
926	109653	8635
927	109754	8515
928	109868	8396
929	109975	8277
930	110091	8159
931	110210	8041
932	110323	7922
933	110433	7803
934	110547	7685
935	110658	7566
936	110758	7446
937	110873	7328
938	110975	7209
939	111083	7090
940	111196	6971
941	111305	6853
942	111411	6734
943	111531	6616
944	111650	6498
945	111749	6378
946	111865	6260
947	111979	6142
948	112088	6023
949	112203	5905
950	112309	5786
951	112408	5667
952	112520	5549
953	112628	5430
954	112745	5312
955	112857	5194
956	112957	5075
957	113065	4956
958	113172	4838
959	113442	4726
960	113652	4612
961	113771	4494
962	113893	4375
963	114008	4257
964	114136	4139
965	114256	4021
966	114376	3903
967	114492	3784
968	114626	3667
969	114742	3548
970	114879	3431
971	114996	3312
972	115130	3194
973	115261	3076
974	115372	2958
975	115487	2839
976	115618	2721
977	115744	2603
978	115868	2485
979	115991	2367
980	116100	2248
981	116225	2130
982	116348	2012
983	116457	1893
984	116569	1775
985	116695	1656
986	116808	1538
987	116932	1420
988	117047	1301
989	117172	1183
990	117314	1065
991	117422	946
992	117532	828
993	117656	710
994	117769	591
995	117887	473
996	118005	355
997	118137	236
998	118255	118
999	118374	0
